function_name,CONTRACT_purpose,CONTRACT_pre,CONTRACT_post,CONTRACT_errors,DATAFLOW_reads,DATAFLOW_writes,DATAFLOW_calls,ENTITIES_entity,ER_relation,UI_screen,FLOW_main
PauseProgram,プログラムを一時停止し、ユーザーがEnterキーを押すのを待つ。,プログラムが実行中であること。,ユーザーがEnterキーを押した後、メインメニューに戻る。,入力エラーが発生する可能性があるが、特に処理しない。,ユーザーからの入力（Enterキー）。,コンソールにメッセージを表示。,printf関数とscanf関数。,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,メインメニュー,プログラムが一時停止し、ユーザーがEnterを押すまで待機。
ScreenHeader,画面のヘッダーを表示する,タイトル文字列を準備する,画面がクリアされ、タイトルが表示される,タイトルが空の場合、何も表示されない,引数のタイトル文字列,画面出力,"system, printf","User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,ヘッダー画面,ユーザーがタイトルを入力し、ヘッダーが表示される
ReadIntBetween,ユーザーが指定した範囲内の整数を入力するための関数,ユーザーが整数を入力する準備をする,指定された範囲内の整数を返す,範囲外の整数が入力された場合、再入力を促す,ユーザーからの整数入力,なし,"scanf, printf","User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,会議室追加画面,会議室情報を入力し、データベースに保存する
ReadDate,会議室の予約管理,ユーザーが予約情報を入力する前の状態,予約情報がデータベースに保存された後の状態,入力エラーや予約の重複エラー,予約情報の取得,新しい予約の作成、会議室情報の更新,APIエンドポイントへの呼び出し,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約画面,ユーザーが予約情報を入力し、確認後に送信
ReadTime,会議室の予約を管理するための機能,ユーザーが予約情報を入力する前の状態,予約が正常に作成された後の状態,入力エラーや予約の競合,ユーザーID、会議室ID、開始日時、終了日時,予約情報,ReadTime関数,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,予約入力画面,ユーザーが情報を入力し、予約を送信
IsDate1BeforeDate2,日付の比較を行う関数,二つの日付を引数として受け取る,最初の日付が二番目の日付より前であればtrueを返す,無効な日付の場合のエラーハンドリングは含まれていない,Date1とDate2の年、月、日,bool型の結果,なし,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,"メインメニュー, ユーザー管理メニュー, 会議室管理メニュー",ユーザー管理や会議室管理のサブメニューを表示し、選択肢に基づいて操作を実行
IsTime1BeforeTime2,時間の比較を行い、Time1がTime2より前かどうかを判定する。,Time1とTime2はstTime型の構造体である必要がある。,Time1がTime2より前であればtrueを返し、そうでなければfalseを返す。,引数が無効な場合のエラーハンドリングは実装されていない。,"Time1.Hour, Time1.Minute, Time2.Hour, Time2.Minute",なし,なし,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,"メインメニュー, ユーザー管理メニュー, 会議室管理メニュー",ユーザー管理や会議室管理の選択肢を表示し、選択に応じたサブメニューを表示する。
ExitScreen,終了画面を表示する,システムが初期化されていること,終了メッセージが表示される,システムコマンドの失敗,なし,画面にメッセージを表示,"system, printf","User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,終了画面,ユーザーが終了を選択すると表示される
MainMenu,メインメニューを表示し、ユーザーの選択に基づいて異なる管理メニューを呼び出す。,初期化されたユーザー、部屋、予約リスト。,選択されたメニューに遷移するか、プログラムを終了する。,無効な選択肢が入力された場合にエラーメッセージを表示。,ユーザーの選択。,ユーザー、部屋、予約リストの状態。,ユーザー管理メニュー、部屋管理メニュー、予約管理メニュー、終了画面。,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,メインメニュー画面,ユーザーの選択に基づいて異なる管理メニューに遷移。
main,メインメニューを表示するため,初期化処理が必要,メインメニューが表示される,メニュー表示に失敗した場合のエラーハンドリング,ユーザー情報、部屋情報、予約情報,予約情報の作成,MainMenu関数,"User, Room, Reservation",Reservation.userId→User.id; Reservation.roomId→Room.id,メインメニュー画面,ユーザーがメインメニューを操作する
DisplayUserCard,ユーザー情報を表示する,UserPtr Userが有効であること,ユーザー情報がコンソールに表示される,UserがNULLの場合は表示しない,UserのID、FirstName、LastName,コンソール出力,printf関数,"User(id, 名前, メールアドレス, 作成日時)",Reservation.userId→User.id,予約表示画面,ユーザーが予約を選択し、予約リストを表示する
