id,function,field,ref,gen,ref_tokens,gen_tokens,semantic_similarity,bleu,completeness,f1_score,sbc
F001,PauseProgram,trigger,ユーザーが前の処理を終え、メインメニューに戻るタイミングで実行される,ユーザーがプログラムを一時停止する必要があるとき。,ユーザー が 前 の 処理 を 終え 、 メイン メニュー に 戻る タイミング で 実行 さ れる,ユーザー が プログラム を 一時 停止 する 必要 が ある とき 。,0.4844647943973541,0.02627968585443437,0.17647058823529413,0.21428571428571427,0.377
F001,PauseProgram,action,Enterキーを押すようにユーザーに促し、その入力を待機する,Enterキーを押すようにユーザーに促すメッセージを表示する。,Enter キー を 押す よう に ユーザー に 促し 、 その 入力 を 待機 する,Enter キー を 押す よう に ユーザー に 促す メッセージ を 表示 する 。,0.7480491995811462,0.5062586532254356,0.6153846153846154,0.64,0.6973
F001,PauseProgram,effect,ユーザーの任意のタイミングでメニューに戻れるようにする,ユーザーがEnterキーを押すと、メインメニューに戻る。,ユーザー の 任意 の タイミング で メニュー に 戻れる よう に する,ユーザー が Enter キー を 押す と 、 メイン メニュー に 戻る 。,0.7243219017982483,0.036362270465000714,0.3,0.2608695652173913,0.5707
F001,PauseProgram,constraint,標準入力から1文字以上が入力されるまで次に進まない,ユーザーはEnterキー以外の入力をしてもメインメニューに戻れない。,標準 入力 から 1 文字 以上 が 入力 さ れる まで 次に 進ま ない,ユーザー は Enter キー 以外 の 入力 を し て も メイン メニュー に 戻れ ない 。,0.6552037000656128,0.013679192123121896,0.15384615384615385,0.13333333333333333,0.4908
F002,ScreenHeader,trigger,画面をクリアし、操作画面に見出しを表示したいとき,ScreenHeader関数が呼び出されるとき。,画面 を クリア し 、 操作 画面 に 見出し を 表示 し たい とき,ScreenHeader 関数 が 呼び出さ れる とき 。,0.5605791807174683,0.012151662434083676,0.09090909090909091,0.1111111111111111,0.4118
F002,ScreenHeader,action,コンソール画面をクリアし、引数で与えられたタイトル文字列を目立つ枠で囲んで表示する,画面をクリアし、指定されたタイトルを装飾して表示する。,コンソール 画面 を クリア し 、 引数 で 与え られ た タイトル 文字 列 を 目立つ 枠 で 囲ん で 表示 する,画面 を クリア し 、 指定 さ れ た タイトル を 装飾 し て 表示 する 。,0.7803291082382202,0.2099640321417121,0.47368421052631576,0.5294117647058824,0.662
F002,ScreenHeader,effect,画面に見出しが強調され、処理の開始や区切りが明確になる,コンソール画面にタイトルが装飾された形で表示される。,画面 に 見出し が 強調 さ れ 、 処理 の 開始 や 区切り が 明確 に なる,コンソール 画面 に タイトル が 装飾 さ れ た 形 で 表示 さ れる 。,0.7290598154067993,0.036581212462211535,0.3333333333333333,0.3448275862068965,0.5807
F002,ScreenHeader,constraint,Windows環境で 'cls' コマンドが有効である必要がある,タイトルはMAX_STRING_SIZEの制限内である必要がある。,Windows 環境 で   ' cls '   コマンド が 有効 で ある 必要 が ある,タイトル は MAX _ STRING _ SIZE の 制限 内 で ある 必要 が ある 。,0.6951645612716675,0.22894156860669912,0.36363636363636365,0.32,0.5822
F003,ReadIntBetween,trigger,ユーザーに特定の範囲内の整数入力を求めたいとき,ユーザーが整数を入力する。,ユーザー に 特定 の 範囲 内 の 整数 入力 を 求め たい とき,ユーザー が 整数 を 入力 する 。,0.8393356204032898,0.01982406729322919,0.3333333333333333,0.4210526315789474,0.6562
F003,ReadIntBetween,action,標準入力から整数値を読み取り、指定された範囲に収まるまで繰り返し再入力を求める,入力された整数が指定された範囲内にあるかを確認する。,標準 入力 から 整数 値 を 読み取り 、 指定 さ れ た 範囲 に 収まる まで 繰り返し 再 入力 を 求める,入力 さ れ た 整数 が 指定 さ れ た 範囲 内 に ある か を 確認 する 。,0.7859107255935669,0.19758295513773488,0.47368421052631576,0.5142857142857142,0.6646
