function,answer,elapsed_time_sec
AddNewReservation,D,1.77
AddNewReservationScreen,B,0.8
AddNewRoom,C,0.85
AddNewRoomScreen,C,0.82
AddNewUser,A,0.65
AddNewUserScreen,D,1.0
CheckRoomAvailabilityScreen,C,0.69
DeleteReservationByID,B,1.28
DeleteReservationScreen,B,0.65
DeleteRoomByID,D,0.78
DeleteRoomScreen,A,0.72
DeleteUserByID,B,0.77
DeleteUserScreen,A,0.68
DisplayReservationCard,D,0.63
DisplayReservationsScreen,D,0.69
DisplayRoomCard,D,0.66
DisplayRoomListScreen,D,0.67
DisplayUserCard,D,0.75
DisplayUserListScreen,A,0.75
ExitScreen,C,5.71
IsDate1BeforeDate2,D,0.81
IsTime1BeforeTime2,C,6.44
MainMenu,C,0.69
PauseProgram,D,2.61

TOTAL_ELAPSED_TIME(sec),55.95
