id,分類,画面名,概要,構成要素,操作手順,利用者
scr-001,認証,ログイン,登録済みのユーザーがシステムにログインするための画面。,メールアドレス入力欄、パスワード入力欄、ログインボタン、パスワードを忘れた場合リンク、新規登録リンク,"1. ユーザーはメールアドレスとパスワードを入力する。
2. 「ログイン」ボタンをクリックする。
3. 入力情報が正しければホーム画面へ遷移する。
4. 「パスワードを忘れた場合」リンクをクリックするとパスワードリセット画面へ遷移する。
5. 「新規登録」リンクをクリックするとユーザー登録画面へ遷移する。",ユーザー
scr-002,認証,ユーザー登録,新規ユーザーがアカウントを作成するための画面。,名前入力欄、メールアドレス入力欄、パスワード入力欄、パスワード確認入力欄、登録ボタン、ログイン画面へ戻るリンク,"1. ユーザーは名前、メールアドレス、パスワード、パスワード確認を入力する。
2. 「登録」ボタンをクリックする。
3. 入力情報が有効であれば、アカウントが作成され、ログイン画面またはホーム画面へ遷移する。
4. 「ログイン画面へ戻る」リンクをクリックするとログイン画面へ遷移する。",ユーザー
scr-003,認証,パスワードリセット,パスワードを忘れたユーザーがパスワードをリセットするための画面。,メールアドレス入力欄、リセットメール送信ボタン、ログイン画面へ戻るリンク,"1. ユーザーは登録済みのメールアドレスを入力する。
2. 「リセットメールを送信」ボタンをクリックする。
3. 登録メールアドレスにパスワードリセット用のリンクが送信される旨のメッセージが表示される。
4. 「ログイン画面へ戻る」リンクをクリックするとログイン画面へ遷移する。",ユーザー
scr-004,メイン,ホーム,ログイン後の最初の画面。ユーザーは自身の予約状況の概要や、会議室の検索・予約へのリンクを確認できる。,ヘッダー（ロゴ、ユーザー名、ログアウトボタンなど）、自分の今日の予約一覧、今後の予約一覧、会議室検索・予約へのリンク、会議室一覧へのリンク,"1. ログイン後、この画面が表示される。
2. 自分の予約情報を確認する。
3. 「会議室を検索・予約する」リンクをクリックすると会議室一覧画面へ遷移する。
4. 「自分の予約一覧を見る」リンクをクリックするとマイ予約一覧画面へ遷移する。
5. ヘッダーのログアウトボタンをクリックするとログイン画面へ戻る。","ユーザー, 管理者"
scr-005,会議室,会議室一覧,システムに登録されている会議室を一覧表示する画面。検索・フィルタリング機能を通じて、希望する会議室を探せる。,会議室検索フォーム（部屋名、収容人数、空き状況などでフィルタリング）、会議室カード（部屋名、収容人数、説明、詳細ボタン）、ページネーション、管理者向け：新規会議室追加ボタン,"1. 会議室の一覧を確認する。
2. 検索フォームにキーワードを入力し、「検索」ボタンをクリックすると、条件に合致する会議室が表示される。
3. 各会議室カードの「詳細」ボタンをクリックすると会議室詳細画面へ遷移する。
4. 管理者ユーザーは「新規会議室追加」ボタンをクリックすると会議室登録画面へ遷移する。","ユーザー, 管理者"
scr-006,会議室,会議室詳細,特定の会議室の詳細情報（写真、設備、利用可能な時間帯など）を表示し、予約を行うための画面。,部屋名、収容人数、説明、カレンダー（空き状況表示）、予約フォーム（開始日時、終了日時入力欄）、予約ボタン、管理者向け：編集ボタン、削除ボタン,"1. 会議室の詳細情報を確認する。
2. カレンダーで利用可能な時間帯を確認する。
3. 予約フォームで開始日時と終了日時を選択し、「予約」ボタンをクリックすると予約作成処理が実行される（または予約作成画面へ遷移）。
4. 管理者ユーザーは「編集」ボタンをクリックすると会議室編集画面へ遷移する。
5. 管理者ユーザーは「削除」ボタンをクリックすると確認ダイアログ表示後、会議室を削除する。","ユーザー, 管理者"
scr-007,予約,予約作成,特定の会議室の予約を行うための画面。利用日時、目的などを入力する。,予約対象会議室情報（部屋名、収容人数）、開始日時選択、終了日時選択、利用目的入力欄、予約確定ボタン、キャンセルボタン,"1. 予約対象の会議室情報を確認する。
2. 開始日時と終了日時を選択する。
3. 利用目的をテキストエリアに入力する。
4. 「予約確定」ボタンをクリックすると予約が作成され、マイ予約一覧画面または予約詳細画面へ遷移する。
5. 「キャンセル」ボタンをクリックすると会議室詳細画面へ戻る。","ユーザー, 管理者"
scr-008,予約,マイ予約一覧,ユーザー自身が行った予約の一覧を表示する画面。過去の予約、現在の予約、今後の予約を確認できる。,予約一覧テーブル（会議室名、開始日時、終了日時、ステータス、詳細ボタン、編集ボタン、キャンセルボタン）、検索・フィルタリングオプション,"1. 自身の予約履歴を一覧で確認する。
2. 各予約行の「詳細」ボタンをクリックすると予約詳細画面へ遷移する。
3. 各予約行の「編集」ボタンをクリックすると予約編集画面へ遷移する（予約開始前の場合のみ）。
4. 各予約行の「キャンセル」ボタンをクリックすると確認ダイアログ表示後、予約をキャンセルする（予約開始前の場合のみ）。",ユーザー
scr-009,予約,予約詳細,特定の予約の詳細情報（会議室情報、予約日時、予約者、ステータスなど）を表示する画面。,予約ID、会議室名、予約者名、開始日時、終了日時、ステータス、利用目的、編集ボタン（条件付き）、キャンセルボタン（条件付き）、一覧へ戻るボタン,"1. 予約の詳細情報を確認する。
2. 自身の予約の場合、または管理者権限がある場合で、予約が未開始であれば「編集」ボタンをクリックすると予約編集画面へ遷移する。
3. 自身の予約の場合、または管理者権限がある場合で、予約が未開始であれば「キャンセル」ボタンをクリックすると確認ダイアログ表示後、予約をキャンセルする。
4. 「一覧へ戻る」ボタンをクリックするとマイ予約一覧画面（ユーザー）または全体予約管理画面（管理者）へ戻る。","ユーザー, 管理者"
scr-010,予約,予約編集,既存の予約内容を変更するための画面。予約日時、利用目的などを修正できる。,予約ID、会議室名、予約者名、開始日時選択、終了日時選択、利用目的入力欄、更新ボタン、キャンセルボタン（フォームのキャンセル）,"1. 既存の予約情報が入力済みの状態で表示される。
2. 開始日時、終了日時、利用目的を変更する。
3. 「更新」ボタンをクリックすると予約情報が更新され、予約詳細画面へ遷移する。
4. 「キャンセル」ボタンをクリックすると予約詳細画面へ戻る。","ユーザー, 管理者"
