"level","model","function","predicted","correct","is_correct","source_file","function_def_line","signature","leading_comment"
"L0","gpt-4o","DeleteReservationByID","B","A","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","720","ReservationPtr DeleteReservationByID(ReservationPtr ReservationList, int ID)
{",""
"L0","gpt-4o","DeleteRoomByID","D","C","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","502","RoomPtr DeleteRoomByID(RoomPtr RoomList, int ID)
{",""
"L0","gpt-4o","DisplayReservationCard","A","D","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","693","void DisplayReservationCard(ReservationPtr Reservation)
{","// =========================================================================== Reservation Management ==========================================================================="
"L0","gpt-4o","DisplayUserCard","B","D","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","194","void DisplayUserCard(UserPtr User)
{","// =========================================================================== User Management ==========================================================================="
"L0","gpt-4o","ReadIntBetween","A","D","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","74","int ReadIntBetween(int from, int to)
{",""
"L0","gpt-4o","ReservationManagementMenu","C","D","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","939","void ReservationManagementMenu(ReservationPtr *ReservationList, UserPtr UserList, RoomPtr *RoomList)
{",""
"L0","gpt-4o","SearchUserByFirstNameScreen","A","C","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","298","void SearchUserByFirstNameScreen(UserPtr UserList)
{",""
"L0","gpt-4o","main","D","C","False","data\levels\L0\Meeting_Room_Reservation_System_L0.c","187","int main()
{",""
"L1","gpt-4o","DeleteReservationByID","B","A","False","data\levels\L1\Meeting_Room_Reservation_System_L1.c","758","ReservationPtr DeleteReservationByID(ReservationPtr ReservationList, int ID)
{","// [Logical] この関数は、予約リストから指定されたIDの予約を削除します。"
"L1","gpt-4o","DeleteRoomByID","D","C","False","data\levels\L1\Meeting_Room_Reservation_System_L1.c","530","RoomPtr DeleteRoomByID(RoomPtr RoomList, int ID)
{","// [Logical] この関数は、リンクリストから指定されたIDの部屋を削除します。"
"L1","gpt-4o","DisplayUserCard","B","D","False","data\levels\L1\Meeting_Room_Reservation_System_L1.c","205","void DisplayUserCard(UserPtr User)
{","// =========================================================================== User Management ===========================================================================
// [Logical] この関数は、ユーザーの情報をフォーマットしてコンソールに表示します。"
"L1","gpt-4o","ReadIntBetween","A","D","False","data\levels\L1\Meeting_Room_Reservation_System_L1.c","77","int ReadIntBetween(int from, int to)
{","// [Logical] この関数は、指定された範囲内の整数をユーザーから入力として取得します。"
"L1","gpt-4o","ReservationManagementMenu","C","D","False","data\levels\L1\Meeting_Room_Reservation_System_L1.c","987","void ReservationManagementMenu(ReservationPtr *ReservationList, UserPtr UserList, RoomPtr *RoomList)
{","// [Logical] この関数は予約管理メニューを表示し、ユーザーの選択に応じた操作を実行します。"
"L1","gpt-4o","SearchUserByFirstNameScreen","A","C","False","data\levels\L1\Meeting_Room_Reservation_System_L1.c","316","void SearchUserByFirstNameScreen(UserPtr UserList)
{","// [Logical] この関数は、ユーザーのリストから指定された名前を持つユーザーを検索し、結果を表示します。"
"L1","gpt-4o","main","D","C","False","data\levels\L1\Meeting_Room_Reservation_System_L1.c","197","int main()
{","// [Logical] この関数はプログラムのエントリーポイントとして、メインメニューを表示するために呼び出されます。"
"L2","gpt-4o","DeleteReservationByID","B","A","False","data\levels\L2\Meeting_Room_Reservation_System_L2.c","796","ReservationPtr DeleteReservationByID(ReservationPtr ReservationList, int ID)
{","// [Logical] この関数は、予約リストから指定されたIDの予約を削除します。
// [Precise] リストを順に走査し、指定されたIDと一致する予約を見つけたら、そのノードをリストから削除します。"
"L2","gpt-4o","DeleteRoomByID","D","C","False","data\levels\L2\Meeting_Room_Reservation_System_L2.c","558","RoomPtr DeleteRoomByID(RoomPtr RoomList, int ID)
{","// [Logical] この関数は、リンクリストから指定されたIDの部屋を削除します。
// [Precise] リストを先頭から順に探索し、指定されたIDの部屋を見つけたら、そのノードをリストから削除し、メモリを解放します。"
"L2","gpt-4o","ReadIntBetween","A","D","False","data\levels\L2\Meeting_Room_Reservation_System_L2.c","80","int ReadIntBetween(int from, int to)
{","// [Logical] この関数は、指定された範囲内の整数をユーザーから入力として取得します。
// [Precise] ユーザーから整数を入力させ、その値が指定された範囲内に収まるまで再入力を促します。"
"L2","gpt-4o","ReservationManagementMenu","C","D","False","data\levels\L2\Meeting_Room_Reservation_System_L2.c","1035","void ReservationManagementMenu(ReservationPtr *ReservationList, UserPtr UserList, RoomPtr *RoomList)
{","// [Logical] この関数は予約管理メニューを表示し、ユーザーの選択に応じた操作を実行します。
// [Precise] メニューを表示し、ユーザーの選択を受け取り、選択に応じて予約の追加、削除、表示、日付でのソートを行います。"
"L2","gpt-4o","SearchUserByFirstNameScreen","A","C","False","data\levels\L2\Meeting_Room_Reservation_System_L2.c","334","void SearchUserByFirstNameScreen(UserPtr UserList)
{","// [Logical] この関数は、ユーザーのリストから指定された名前を持つユーザーを検索し、結果を表示します。
// [Precise] ユーザーに名前の入力を求め、その名前でユーザーリストを検索し、結果を表示します。"
"L2","gpt-4o","main","D","C","False","data\levels\L2\Meeting_Room_Reservation_System_L2.c","207","int main()
{","// [Logical] この関数はプログラムのエントリーポイントとして、メインメニューを表示するために呼び出されます。
// [Precise] MainMenu関数を呼び出し、その後プログラムを終了します。"
"L3","gpt-4o","DeleteReservationByID","B","A","False","data\levels\L3\Meeting_Room_Reservation_System_L3.c","834","ReservationPtr DeleteReservationByID(ReservationPtr ReservationList, int ID)
{","// [Logical] この関数は、予約リストから指定されたIDの予約を削除します。
// [Precise] リストを順に走査し、指定されたIDと一致する予約を見つけたら、そのノードをリストから削除します。
// [Unambiguous] 指定されたIDの予約を見つけた場合、そのノードをリストから削除し、メモリを解放します。"
"L3","gpt-4o","DeleteRoomByID","D","C","False","data\levels\L3\Meeting_Room_Reservation_System_L3.c","586","RoomPtr DeleteRoomByID(RoomPtr RoomList, int ID)
{","// [Logical] この関数は、リンクリストから指定されたIDの部屋を削除します。
// [Precise] リストを先頭から順に探索し、指定されたIDの部屋を見つけたら、そのノードをリストから削除し、メモリを解放します。
// [Unambiguous] 関数は、指定されたIDを持つノードを見つけて削除し、リストの先頭が削除された場合も考慮しています。"
"L3","gpt-4o","ReadIntBetween","A","D","False","data\levels\L3\Meeting_Room_Reservation_System_L3.c","83","int ReadIntBetween(int from, int to)
{","// [Logical] この関数は、指定された範囲内の整数をユーザーから入力として取得します。
// [Precise] ユーザーから整数を入力させ、その値が指定された範囲内に収まるまで再入力を促します。
// [Unambiguous] ユーザーが入力した整数が範囲外の場合、範囲内の整数が入力されるまで再度入力を求めます。"
"L3","gpt-4o","ReservationManagementMenu","C","D","False","data\levels\L3\Meeting_Room_Reservation_System_L3.c","1083","void ReservationManagementMenu(ReservationPtr *ReservationList, UserPtr UserList, RoomPtr *RoomList)
{","// [Logical] この関数は予約管理メニューを表示し、ユーザーの選択に応じた操作を実行します。
// [Precise] メニューを表示し、ユーザーの選択を受け取り、選択に応じて予約の追加、削除、表示、日付でのソートを行います。
// [Unambiguous] ユーザーが1から5の選択肢を入力し、その選択に基づいて対応する予約管理操作を実行します。"
"L3","gpt-4o","SearchUserByFirstNameScreen","A","C","False","data\levels\L3\Meeting_Room_Reservation_System_L3.c","352","void SearchUserByFirstNameScreen(UserPtr UserList)
{","// [Logical] この関数は、ユーザーのリストから指定された名前を持つユーザーを検索し、結果を表示します。
// [Precise] ユーザーに名前の入力を求め、その名前でユーザーリストを検索し、結果を表示します。
// [Unambiguous] 入力された名前でユーザーリストを検索し、見つからなければメッセージを表示します。"
"L3","gpt-4o","main","D","C","False","data\levels\L3\Meeting_Room_Reservation_System_L3.c","217","int main()
{","// [Logical] この関数はプログラムのエントリーポイントとして、メインメニューを表示するために呼び出されます。
// [Precise] MainMenu関数を呼び出し、その後プログラムを終了します。
// [Unambiguous] プログラム開始時にMainMenu関数を実行し、終了コード0を返します。"
"L4","gpt-4o","DeleteReservationByID","B","A","False","data\levels\L4\Meeting_Room_Reservation_System_L4.c","872","ReservationPtr DeleteReservationByID(ReservationPtr ReservationList, int ID)
{","// [Logical] この関数は、予約リストから指定されたIDの予約を削除します。
// [Precise] リストを順に走査し、指定されたIDと一致する予約を見つけたら、そのノードをリストから削除します。
// [Unambiguous] 指定されたIDの予約を見つけた場合、そのノードをリストから削除し、メモリを解放します。
// [Exhaustive] 指定されたIDの予約が見つかると削除され、リストの先頭が変更される可能性があります。見つからない場合はリストは変更されません。"
"L4","gpt-4o","DeleteRoomByID","D","C","False","data\levels\L4\Meeting_Room_Reservation_System_L4.c","614","RoomPtr DeleteRoomByID(RoomPtr RoomList, int ID)
{","// [Logical] この関数は、リンクリストから指定されたIDの部屋を削除します。
// [Precise] リストを先頭から順に探索し、指定されたIDの部屋を見つけたら、そのノードをリストから削除し、メモリを解放します。
// [Unambiguous] 関数は、指定されたIDを持つノードを見つけて削除し、リストの先頭が削除された場合も考慮しています。
// [Exhaustive] 削除されたノードのメモリを解放し、更新されたリストの先頭を返しますが、IDが見つからない場合の処理はありません。"
"L4","gpt-4o","DisplayReservationCard","A","D","False","data\levels\L4\Meeting_Room_Reservation_System_L4.c","837","void DisplayReservationCard(ReservationPtr Reservation)
{","// =========================================================================== Reservation Management ===========================================================================

// [Logical] この関数は予約情報をフォーマットして表示します。
// [Precise] 予約情報の各フィールドを取得し、フォーマットされた文字列として標準出力に表示します。
// [Unambiguous] Reservation構造体のメンバーを使用して、予約の詳細を明確に表示します。
// [Exhaustive] この関数は出力を行うだけで、戻り値はなく、他のシステムへの影響もありません。"
"L4","gpt-4o","ReadIntBetween","A","D","False","data\levels\L4\Meeting_Room_Reservation_System_L4.c","86","int ReadIntBetween(int from, int to)
{","// [Logical] この関数は、指定された範囲内の整数をユーザーから入力として取得します。
// [Precise] ユーザーから整数を入力させ、その値が指定された範囲内に収まるまで再入力を促します。
// [Unambiguous] ユーザーが入力した整数が範囲外の場合、範囲内の整数が入力されるまで再度入力を求めます。
// [Exhaustive] 範囲内の整数が入力されると、その整数を返します。範囲外の入力があった場合は再入力を促します。"
"L4","gpt-4o","ReservationManagementMenu","C","D","False","data\levels\L4\Meeting_Room_Reservation_System_L4.c","1131","void ReservationManagementMenu(ReservationPtr *ReservationList, UserPtr UserList, RoomPtr *RoomList)
{","// [Logical] この関数は予約管理メニューを表示し、ユーザーの選択に応じた操作を実行します。
// [Precise] メニューを表示し、ユーザーの選択を受け取り、選択に応じて予約の追加、削除、表示、日付でのソートを行います。
// [Unambiguous] ユーザーが1から5の選択肢を入力し、その選択に基づいて対応する予約管理操作を実行します。
// [Exhaustive] 1から4の選択肢はそれぞれ予約追加、削除、表示、ソートを行い、5はメニューを終了します。範囲外の選択はエラーメッセージを表示します。"
"L4","gpt-4o","SearchUserByFirstNameScreen","A","C","False","data\levels\L4\Meeting_Room_Reservation_System_L4.c","370","void SearchUserByFirstNameScreen(UserPtr UserList)
{","// [Logical] この関数は、ユーザーのリストから指定された名前を持つユーザーを検索し、結果を表示します。
// [Precise] ユーザーに名前の入力を求め、その名前でユーザーリストを検索し、結果を表示します。
// [Unambiguous] 入力された名前でユーザーリストを検索し、見つからなければメッセージを表示します。
// [Exhaustive] ユーザーが見つかった場合は何も表示せず、見つからなければ「User not Found!」と表示します。"
