id,分類,機能名,概要,入力,出力,利用者
fun-001,システム共通,メインメニュー表示,システム起動時に、ユーザー、会議室、予約の各管理機能を選択するためのメインメニューを表示します。,なし,"メインメニュー選択肢の表示（例: 1.ユーザー管理, 2.会議室管理, 3.予約管理, 4.予約リスト表示, 0.終了）",システム利用者
fun-002,ユーザー管理,ユーザー管理メニュー表示,ユーザー管理機能のサブメニュー（追加、検索、表示、削除など）を表示します。,なし,"ユーザー管理メニュー選択肢の表示（例: 1.ユーザー追加, 2.ユーザー検索, 3.全ユーザー表示, 4.ユーザー削除, 5.ユーザー情報更新, 0.戻る）",システム利用者
fun-003,ユーザー管理,ユーザー追加,新しいユーザー情報をシステムに登録します。ユーザーIDとユーザー名を入力させます。,"ユーザーID (文字列), ユーザー名 (文字列)",「ユーザー追加成功」メッセージ、または「ユーザーIDが重複しています」などのエラーメッセージ,システム利用者
fun-004,ユーザー管理,ユーザー検索,ユーザーIDまたはユーザー名の一部を入力として受け取り、該当するユーザー情報を検索し表示します。,検索キーワード（ユーザーIDまたはユーザー名の一部） (文字列),検索結果のユーザー情報リスト、または「該当するユーザーは見つかりませんでした」メッセージ,システム利用者
fun-005,ユーザー管理,全ユーザー表示,システムに登録されている全てのユーザー情報を一覧で表示します。,なし,全ユーザー情報リスト、または「登録されているユーザーはいません」メッセージ,システム利用者
fun-006,ユーザー管理,ユーザー削除,指定されたユーザーIDに一致するユーザー情報をシステムから削除します。削除前に確認を求めます。,削除対象のユーザーID (文字列),「ユーザー削除成功」メッセージ、または「指定されたユーザーIDは存在しません」などのエラーメッセージ,システム利用者
fun-007,ユーザー管理,ユーザーID入力,ユーザーIDの入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力されたユーザーID (文字列),システム利用者
fun-008,ユーザー管理,ユーザー名入力,ユーザー名の入力をユーザーに促し、その値を受け取ります。,プロンプトメッセージ (文字列),入力されたユーザー名 (文字列),システム利用者
fun-009,ユーザー管理,ユーザー情報更新,指定されたユーザーIDのユーザー名やその他の情報を更新します。,"更新対象のユーザーID (文字列), 新しいユーザー名 (文字列)",「ユーザー情報更新成功」メッセージ、または「指定されたユーザーIDは存在しません」などのエラーメッセージ,システム利用者
fun-010,会議室管理,会議室管理メニュー表示,会議室管理機能のサブメニュー（追加、検索、表示、削除など）を表示します。,なし,"会議室管理メニュー選択肢の表示（例: 1.会議室追加, 2.会議室検索, 3.全会議室表示, 4.会議室削除, 5.会議室情報更新, 0.戻る）",システム利用者
fun-011,会議室管理,会議室追加,新しい会議室情報をシステムに登録します。会議室ID、会議室名、収容人数を入力させます。,"会議室ID (文字列), 会議室名 (文字列), 収容人数 (整数)",「会議室追加成功」メッセージ、または「会議室IDが重複しています」などのエラーメッセージ,システム利用者
fun-012,会議室管理,会議室検索,会議室IDまたは会議室名の一部を入力として受け取り、該当する会議室情報を検索し表示します。,検索キーワード（会議室IDまたは会議室名の一部） (文字列),検索結果の会議室情報リスト、または「該当する会議室は見つかりませんでした」メッセージ,システム利用者
fun-013,会議室管理,全会議室表示,システムに登録されている全ての会議室情報を一覧で表示します。,なし,全会議室情報リスト、または「登録されている会議室はありません」メッセージ,システム利用者
