id,function,bleurt,ref,hyp
F001,PauseProgram,0.766686201095581,この関数は、ユーザーにEnterキーを押すよう促し、押された後にメインメニューに戻るための一時停止を実行します。,この関数は、ユーザーがEnterキーを押すまでプログラムを一時停止し、メインメニューに戻るよう促す機能を持っています。
F002,ScreenHeader,0.39931637048721313,指定されたタイトルを画面上に装飾付きで表示するための関数で、画面をクリアした後にタイトルを囲む形でアスタリスクのラインを追加して出力します。,この関数は、指定されたタイトルを画面のヘッダーとしてクリアしたコンソールに表示します。
F003,ReadIntBetween,0.6655301451683044,指定された範囲内の整数をユーザーから入力させ、その値を返す関数です。範囲外の値が入力された場合は、再入力を促します。,この関数は、ユーザーから指定された範囲内の整数を取得し、その整数を返します。
F004,ReadDate,0.592242419719696,ユーザーに日付入力を促すメッセージを表示し、入力された日、月、年をそれぞれ整数として読み取り、stDate構造体に格納して返す関数です。,この関数は、ユーザーから日付を入力として受け取り、その日付を構造体として返します。
F005,ReadTime,0.6977431178092957,ユーザーにメッセージを表示して時刻（時間と分）を入力させ、その入力された時刻をstTime構造体として返す関数です。,ユーザーから時間を入力として受け取り、それをstTime構造体として返す関数です。
F006,IsDate1BeforeDate2,0.921772301197052,この関数は、2つの日付を比較し、最初の日付が2番目の日付よりも前であるかどうかを判定します。,この関数は、2つの日付を比較して、最初の日付が2番目の日付よりも前であるかどうかを判定します。
F007,IsTime1BeforeTime2,0.7481576800346375,この関数は、2つの時間構造体を比較し、最初の時間が2番目の時間よりも前であるかどうかを判定します。,この関数は、与えられた2つの時間構造体を比較し、Time1がTime2よりも前の時間であるかどうかを判定します。
F008,ExitScreen,0.5341250896453857,この関数は、コンソール画面をクリアした後、プロジェクトの終了画面を表示し、開発者の名前とグループ番号を示します。,この関数は、終了画面を表示するためのものです。
F009,MainMenu,0.6693073511123657,この関数は、ユーザー、部屋、予約の管理メニューを選択できるメインメニューを表示し、ユーザーの選択に応じてそれぞれの管理メニューを呼び出す機能を提供します。選択肢にはユーザー管理、部屋管理、予約管理、およびプログラムの終了が含まれ、ユーザーが終了を選択するまでループします。,この関数は、ユーザーにメインメニューを表示し、選択されたオプションに基づいてユーザー管理、部屋管理、予約管理の各メニューを呼び出す役割を果たします。
F010,main,0.7293957471847534,この関数は、プログラムのエントリーポイントとしてメインメニューを表示する処理を開始します。,この関数は、プログラムのエントリーポイントとしてメインメニューを表示する役割を持っています。
F011,DisplayUserCard,0.7995392680168152,指定されたユーザー情報（ID、名前、姓）をフォーマットされた形でコンソールに表示する関数です。,この関数は、ユーザーのID、名前、姓をフォーマットしてコンソールに表示することを目的としています。
F012,ReadUserInfo,0.6317821145057678,この関数は、ユーザーのID、名前、姓を標準入力から取得し、指定されたユーザー情報構造体に格納します。IDは0から9999の範囲で整数として読み取られ、次のユーザー情報へのポインタはNULLに初期化されます。,この関数は、ユーザーからID、名前、苗字を入力させ、それらの情報を指定されたユーザー情報構造体に格納することを目的としています。
F013,SearchUserByFirstName,0.7484800219535828,与えられたユーザーリストから指定された名前と一致するユーザーを検索し、該当するユーザーが存在する場合はそのユーザー情報を表示し、存在フラグを更新します。,この関数は、ユーザーリストから指定された名前を持つユーザーを検索し、見つかった場合にその情報を表示し、存在フラグを更新します。
F014,SearchUserByID,0.6984854936599731,この関数は、ユーザーのリストを線形に探索し、指定されたIDを持つユーザーを見つけてそのポインタを返します。見つからない場合はNULLを返します。,この関数は、ユーザーリストを巡回して指定されたIDを持つユーザーを見つけ出し、そのユーザーへのポインタを返すことを目的としています。
F015,AddNewUser,0.6515292525291443,この関数は、新しいユーザーを既存のユーザーリストの末尾に追加し、更新されたユーザーリストを返します。ユーザーリストが空の場合は、新しいユーザーをリストの先頭として設定します。,この関数は、新しいユーザーを既存のユーザーリストの末尾に追加することを目的としています。
F016,DeleteUserByID,0.8227376341819763,指定されたIDを持つユーザーをリンクリストから削除し、更新されたリストを返す関数です。,この関数は、リンクリストから指定されたIDのユーザーを削除し、更新されたリストを返します。
F017,AddNewUserScreen,0.6466021537780762,この関数は、新しいユーザー情報を入力し、ユーザーリストに追加する処理を行います。既存のユーザーIDと重複がない場合にのみ追加し、重複がある場合はその旨を通知します。,この関数は、新しいユーザーを追加するための画面を表示し、ユーザー情報を入力してリストに追加する処理を行います。
F018,SearchUserByFirstNameScreen,0.7013871073722839,この関数は、ユーザーリストから指定された名前でユーザーを検索し、見つからなかった場合には「ユーザーが見つからない」と表示する画面を提供します。,この関数は、ユーザーリストから指定された名前を持つユーザーを検索し、その結果を表示するためのものです。
F019,SearchUserByIDScreen,0.7113854289054871,この関数は、ユーザーリストから指定されたIDのユーザーを検索し、見つかった場合はそのユーザーの情報を表示し、見つからなかった場合は「ユーザーが見つからない」と表示します。,この関数は、ユーザーIDを入力して該当するユーザーを検索し、その結果を表示する機能を持っています。
F020,DisplayUserListScreen,0.6758303642272949,この関数は、ユーザーのリストを画面に表示し、リストが空の場合はその旨を通知します。リスト内の各ユーザーについては、個別のユーザーカードを表示し、処理の最後にプログラムを一時停止します。,この関数は、ユーザーリストを画面に表示し、リストが空の場合はその旨を通知する機能を持っています。
F021,DeleteUserScreen,0.6590952277183533,この関数は、ユーザーIDを入力して該当するユーザーを検索し、確認後にそのユーザーを削除する処理を行います。ユーザーが見つからない場合はエラーメッセージを表示し、削除が成功した場合は成功メッセージを表示します。,この関数は、ユーザーリストから指定されたIDのユーザーを削除するための画面を表示し、削除の確認を行います。
F022,UserManagementMenu,0.7303988337516785,この関数は、ユーザー管理メニューを表示し、ユーザーの追加、名前やIDによる検索、ユーザー一覧の表示、ユーザーの削除といった操作を選択して実行できるインターフェースを提供します。ユーザーが「メインメニュー」を選択するまでループを続けます。,この関数は、ユーザー管理メニューを表示し、ユーザーの追加、検索、表示、削除などの操作を選択して実行するためのインターフェースを提供します。
F023,DisplayRoomCard,0.740154504776001,この関数は、指定された部屋のID、名前、予約状況、および予約されている場合はその日付と時間をフォーマットしてコンソールに表示します。,この関数は、指定された部屋のID、名前、予約状況および予約日時をフォーマットして表示することを目的としています。
F024,ReadRoomInfo,0.4961392283439636,この関数は、ユーザーから部屋のIDと名前を入力させ、それをRoomInfo構造体に格納し、初期状態として予約されていないことを示すフラグを設定し、次の部屋情報へのポインタをNULLに初期化します。,この関数は、ユーザーから部屋の情報を入力させ、その情報を構造体に格納することを目的としています。
F025,SearchRoomByID,0.7522334456443787,この関数は、リンクリスト形式で管理されている部屋のリストから指定されたIDを持つ部屋を検索し、その部屋のポインタを返します。指定されたIDの部屋が見つからない場合はNULLを返します。,この関数は、リンクリスト内の指定されたIDを持つ部屋を検索し、その部屋のポインタを返します。
F026,AddNewRoom,0.6763595938682556,この関数は、新しい部屋（NewRoom）を既存の部屋リスト（RoomList）の末尾に追加し、更新された部屋リストを返します。リストが空の場合は、新しい部屋をリストの先頭として返します。,この関数は、新しい部屋を既存の部屋リストの末尾に追加することを目的としています。
F027,SearchRoomByName,0.6825805902481079,指定された名前を持つ部屋がリスト内に存在するかを検索し、見つかった場合はその部屋の情報を表示し、存在フラグを更新します。,指定された名前に一致する部屋をリストから検索し、見つかった場合にその情報を表示する関数です。
F028,DeleteRoomByID,0.7921409010887146,指定されたIDを持つ部屋をリンクリストから削除し、更新されたリストを返す関数です。,この関数は、リンクリストから指定されたIDの部屋を見つけて削除し、更新されたリストを返します。
F029,AddNewRoomScreen,0.6426186561584473,この関数は、新しい部屋の情報を入力し、既存のリストに同じIDの部屋が存在しない場合にその部屋を追加する機能を提供します。既に同じIDの部屋が存在する場合は、追加せずにその旨を表示します。,この関数は、新しい部屋を追加するための画面を表示し、ユーザーが入力した部屋情報をリストに追加する機能を提供します。
F030,SearchRoomByNameScreen,0.7512137293815613,この関数は、ユーザーに部屋の名前を入力させ、その名前に一致する部屋がリスト内に存在するかを検索し、存在しない場合は「部屋が見つからない」と表示します。,この関数は、ユーザーが入力した部屋の名前を基に部屋を検索し、見つからなかった場合はその旨を表示する機能を持っています。
F031,SearchRoomByIDScreen,0.7180681228637695,この関数は、ユーザーに部屋のIDを入力させ、そのIDに対応する部屋をリストから検索し、見つかった場合は部屋の情報を表示し、見つからない場合はその旨を通知します。,この関数は、ユーザーが入力したIDを基に部屋を検索し、その結果を表示する機能を持っています。
F032,DisplayRoomListScreen,0.659055769443512,この関数は、与えられた部屋のリストを画面に表示し、リストが空の場合はその旨を通知します。リスト内の各部屋については、詳細情報を個別に表示し、処理の最後にプログラムを一時停止します。,この関数は、部屋のリストを画面に表示し、リストが空の場合はその旨を知らせる機能を持っています。
F033,DeleteRoomScreen,0.6198145747184753,この関数は、ユーザーに部屋のIDを入力させ、そのIDに対応する部屋が存在する場合は削除するかどうかを確認し、ユーザーが削除を選択した場合にその部屋を削除する機能を提供します。部屋が見つからない場合や削除が完了した場合には、それぞれ適切なメッセージを表示します。,この関数は、ユーザーに指定されたIDの部屋を削除するための画面を表示し、確認後にその部屋をリストから削除する操作を行います。
F034,CheckRoomAvailabilityScreen,0.8196026086807251,この関数は、部屋の空き状況を名前またはIDで検索するための画面を表示し、ユーザーの選択に応じて適切な検索処理を呼び出します。,この関数は、ユーザーが部屋の空き状況を名前またはIDで確認するための画面を表示し、選択に応じて適切な検索画面を呼び出します。
